epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3251.11,0.83323,0.87447,1.33127,0.52763,0.64918,0.55625,0.44126,1.33684,1.63817,1.75089,0.000137646,0.000137646,0.000137646
89,3287.88,0.83724,0.86573,1.33118,0.50439,0.61835,0.56838,0.45002,1.32995,1.59193,1.75014,0.000134229,0.000134229,0.000134229
90,3324.77,0.83446,0.86637,1.33097,0.52278,0.65588,0.56941,0.45071,1.30624,1.56159,1.7247,0.000130811,0.000130811,0.000130811
91,3361.37,0.82961,0.86191,1.32646,0.62752,0.61643,0.57298,0.44144,1.34263,1.64655,1.76559,0.000127393,0.000127393,0.000127393
92,3398.06,0.83325,0.86158,1.32909,0.59477,0.62689,0.5525,0.43716,1.34051,1.67093,1.75454,0.000123975,0.000123975,0.000123975
93,3434.8,0.82911,0.85784,1.32096,0.5374,0.57397,0.54819,0.44277,1.31744,1.63117,1.74175,0.000120557,0.000120557,0.000120557
94,3471.48,0.82423,0.85026,1.32381,0.58749,0.65943,0.57064,0.45142,1.31291,1.57399,1.7299,0.000117139,0.000117139,0.000117139
95,3508.18,0.82273,0.85162,1.3227,0.56061,0.57024,0.56596,0.45196,1.32141,1.5643,1.74643,0.000113721,0.000113721,0.000113721
96,3545.08,0.82241,0.8507,1.32045,0.54857,0.5861,0.56833,0.45437,1.30326,1.55917,1.72919,0.000110304,0.000110304,0.000110304
97,3582.13,0.81733,0.84987,1.32159,0.58988,0.60883,0.57175,0.44778,1.30934,1.57877,1.73348,0.000106886,0.000106886,0.000106886
98,3619.13,0.82517,0.8488,1.31467,0.54485,0.58417,0.5648,0.45406,1.30425,1.54038,1.72518,0.000103468,0.000103468,0.000103468
99,3656.22,0.82895,0.85145,1.32425,0.59874,0.61348,0.57628,0.45022,1.32865,1.65315,1.74686,0.00010005,0.00010005,0.00010005
100,3693.1,0.81561,0.84387,1.31565,0.53459,0.64903,0.5663,0.44679,1.31635,1.61939,1.74081,9.66321e-05,9.66321e-05,9.66321e-05
101,3729.95,0.81526,0.84038,1.3138,0.50346,0.61002,0.54932,0.44191,1.31014,1.66065,1.73692,9.32143e-05,9.32143e-05,9.32143e-05
102,3766.86,0.81391,0.83873,1.31369,0.52145,0.6494,0.5622,0.44707,1.31846,1.61749,1.73727,8.97964e-05,8.97964e-05,8.97964e-05
103,3804,0.81543,0.82461,1.30998,0.52952,0.639,0.55926,0.44529,1.32764,1.62463,1.75351,8.63786e-05,8.63786e-05,8.63786e-05
104,3840.98,0.81082,0.82957,1.31017,0.5345,0.57575,0.55242,0.44267,1.34334,1.67045,1.77365,8.29607e-05,8.29607e-05,8.29607e-05
105,3878.16,0.80726,0.82062,1.30864,0.52339,0.64747,0.55011,0.43936,1.35069,1.70537,1.77927,7.95429e-05,7.95429e-05,7.95429e-05
106,3915.27,0.80532,0.81819,1.30593,0.53451,0.5716,0.55246,0.44491,1.33725,1.66981,1.76057,7.6125e-05,7.6125e-05,7.6125e-05
107,3952.29,0.80861,0.8135,1.30702,0.52396,0.64975,0.55821,0.44468,1.32614,1.61482,1.75217,7.27071e-05,7.27071e-05,7.27071e-05
108,3989.17,0.80879,0.82793,1.30964,0.50865,0.64938,0.55588,0.4423,1.33416,1.66095,1.76932,6.92893e-05,6.92893e-05,6.92893e-05
109,4026.19,0.80288,0.82192,1.30591,0.52871,0.57309,0.54774,0.44096,1.34396,1.67806,1.77715,6.58714e-05,6.58714e-05,6.58714e-05
110,4063.14,0.80362,0.81037,1.29951,0.53167,0.57183,0.54357,0.43861,1.35811,1.70812,1.78609,6.24536e-05,6.24536e-05,6.24536e-05
111,4100.09,0.80247,0.81415,1.30396,0.53954,0.56941,0.55407,0.44576,1.34632,1.65761,1.77651,5.90357e-05,5.90357e-05,5.90357e-05
112,4136.83,0.81282,0.8203,1.30844,0.51885,0.58384,0.54832,0.44299,1.34616,1.6664,1.77534,5.56179e-05,5.56179e-05,5.56179e-05
113,4173.75,0.79848,0.80553,1.30004,0.54756,0.55844,0.55526,0.44522,1.34339,1.65334,1.76872,5.22e-05,5.22e-05,5.22e-05
114,4210.76,0.80001,0.80684,1.30122,0.50181,0.64236,0.56173,0.4444,1.34499,1.66644,1.77098,4.87821e-05,4.87821e-05,4.87821e-05
115,4247.86,0.80397,0.80515,1.30321,0.49867,0.629,0.56256,0.44617,1.34378,1.64836,1.77757,4.53643e-05,4.53643e-05,4.53643e-05
116,4285.14,0.80385,0.81379,1.30538,0.53814,0.57723,0.55566,0.44698,1.33397,1.63229,1.77017,4.19464e-05,4.19464e-05,4.19464e-05
117,4364.63,0.79791,0.76,1.32676,0.54867,0.56954,0.55645,0.4461,1.31392,1.55519,1.75025,3.85286e-05,3.85286e-05,3.85286e-05
118,4401.92,0.77714,0.72491,1.31143,0.52382,0.64976,0.56048,0.44539,1.3092,1.56371,1.74202,3.51107e-05,3.51107e-05,3.51107e-05
119,4439.24,0.77067,0.71813,1.30327,0.54304,0.63885,0.56455,0.44468,1.31348,1.59497,1.74903,3.16929e-05,3.16929e-05,3.16929e-05
120,4475.51,0.76318,0.70481,1.30041,0.55706,0.56418,0.55974,0.44665,1.31788,1.58222,1.75199,2.8275e-05,2.8275e-05,2.8275e-05
121,4512.08,0.76265,0.69999,1.29707,0.54546,0.56833,0.55521,0.44415,1.32355,1.62017,1.75462,2.48571e-05,2.48571e-05,2.48571e-05
